alcaldia_catalogo,dia_semana,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Tlalpan,Lunes,175,117,72,62,50,63,74,107,207,213,172,158,164,202,277,318,300,299,303,348,319,362,324,188
Tlalpan,Martes,120,88,55,35,39,26,50,116,211,207,219,160,200,233,279,322,283,294,331,359,350,316,262,174
Tlalpan,Miércoles,124,86,46,25,27,24,38,119,183,215,178,197,200,261,224,307,341,264,288,347,313,324,286,201
Tlalpan,Sábado,337,256,204,155,163,153,125,143,166,140,185,208,210,211,268,268,316,324,310,369,373,354,387,379
Tlalpan,Viernes,263,144,70,54,34,49,92,127,139,160,165,166,186,237,234,277,296,347,322,406,465,421,407,349
Tláhuac,Domingo,130,177,114,95,66,47,39,44,52,61,42,97,83,106,109,109,120,95,142,164,171,208,155,102
Tláhuac,Jueves,62,27,16,14,10,21,28,48,79,73,59,54,75,69,107,98,119,119,126,140,140,154,122,93
Tláhuac,Lunes,93,66,39,29,22,23,32,59,73,64,87,69,75,101,109,120,106,134,125,102,165,131,116,75
Tláhuac,Martes,53,26,17,10,6,16,33,65,69,72,74,83,76,84,121,107,106,97,114,142,130,112,131,104
Tláhuac,Miércoles,48,17,9,26,15,12,27,52,65,77,70,55,71,87,114,139,107,114,100,185,118,135,110,67
Tláhuac,Sábado,150,82,63,51,67,41,54,52,67,72,87,80,112,102,129,130,150,146,177,181,176,203,165,166
Tláhuac,Viernes,96,43,25,15,26,14,22,60,56,45,72,73,66,136,166,118,104,123,144,190,158,141,165,169
Venustiano Carranza,Domingo,284,260,191,208,160,157,171,146,134,100,154,149,188,218,236,250,244,276,256,305,333,308,288,283
Venustiano Carranza,Jueves,185,90,75,46,36,45,72,117,215,233,258,260,246,252,249,300,273,341,308,357,383,362,257,204
Venustiano Carranza,Lunes,152,144,90,69,34,46,79,162,230,242,216,219,204,238,317,251,271,262,307,339,282,277,255,208
Venustiano Carranza,Martes,111,69,44,27,31,31,74,138,233,227,197,209,244,219,260,294,302,292,349,321,275,264,247,220
Venustiano Carranza,Miércoles,146,103,48,34,44,45,86,166,272,264,241,242,225,240,254,291,297,303,310,347,313,326,290,225
Venustiano Carranza,Sábado,320,215,162,142,143,116,128,142,159,204,187,199,259,251,303,384,384,405,354,415,434,357,302,287
Venustiano Carranza,Viernes,228,111,78,50,41,39,91,130,164,255,231,240,193,233,329,342,349,319,360,463,385,436,437,282
Xochimilco,Domingo,175,190,126,132,121,95,71,65,90,66,86,98,113,128,103,165,172,167,180,220,268,261,218,167
Xochimilco,Jueves,76,60,28,16,8,31,53,73,76,106,98,114,93,102,148,140,148,199,162,162,158,229,166,152
Xochimilco,Lunes,74,81,42,33,24,35,45,84,107,107,86,78,104,104,114,141,132,136,129,192,178,160,166,144
Xochimilco,Martes,45,45,25,22,12,8,46,92,148,97,104,112,94,79,138,111,129,165,145,172,182,207,167,107
Xochimilco,Miércoles,65,36,25,14,11,15,36,49,104,132,96,77,87,103,125,123,143,148,190,155,194,182,139,118
Xochimilco,Sábado,201,124,93,104,74,64,70,58,72,82,106,96,122,161,144,146,183,238,206,238,240,237,208,187
Xochimilco,Viernes,152,76,43,32,19,15,46,58,106,126,102,131,77,99,119,135,167,147,153,223,206,227,238,227
Álvaro Obregón,Domingo,184,241,223,168,147,119,109,137,138,98,133,130,166,190,238,254,254,245,269,329,295,277,262,223
Álvaro Obregón,Jueves,166,59,64,40,15,16,62,141,193,223,202,152,167,224,294,273,320,266,294,301,360,342,304,242
Álvaro Obregón,Lunes,99,88,59,29,34,25,49,131,186,236,184,178,190,201,231,298,327,304,299,257,297,256,240,170
Álvaro Obregón,Martes,88,43,28,21,23,29,41,136,206,250,235,213,229,283,264,361,292,302,299,307,332,276,234,176
Álvaro Obregón,Miércoles,118,69,48,26,33,17,55,125,214,191,234,183,192,197,265,305,296,300,317,312,338,297,220,192
Álvaro Obregón,Sábado,259,206,147,146,134,90,156,151,115,136,160,163,190,262,288,297,342,292,283,288,305,353,343,339
Álvaro Obregón,Viernes,204,116,70,60,33,42,88,120,179,197,163,177,188,165,226,318,299,344,346,433,372,422,392,288
